"" ,"cambridge100" ,"cambridge100bis" ,"per_disc" ,"p"
"mean_subjects" ,0.571700000000000 ,0.571700000000000 ,0.571700000000000 ,0.000000000000000
"effect_subject1" ,1.000000000000000 ,1.000000000000000 ,1.000000000000000 ,0.166666666666667
"mean_motor" ,0.517600000000000 ,0.517600000000000 ,0.517600000000000 ,0.000000000000000
"mean_motor_nofisher" ,0.519400000000000 ,0.519400000000000 ,0.519400000000000 ,0.000000000000000
"mean_motor_site" ,0.576300000000000 ,0.576300000000000 ,0.576300000000000 ,0.000000000000000
"mean_subjects_site" ,0.620500000000000 ,0.620500000000000 ,0.620500000000000 ,0.000000000000000
