"" ,"cambridge100" ,"cambridge100bis" ,"per_disc" ,"p"
"mean_subjects" ,0.508400000000000 ,0.508400000000000 ,0.508400000000000 ,0.000000000000000
"effect_subject1" ,1.000000000000000 ,1.000000000000000 ,1.000000000000000 ,0.166666666666667
"mean_motor" ,0.495900000000000 ,0.495900000000000 ,0.495900000000000 ,0.000000000000000
"mean_motor_nofisher" ,0.498100000000000 ,0.498100000000000 ,0.498100000000000 ,0.000000000000000
"mean_motor_site" ,0.556000000000000 ,0.556000000000000 ,0.556000000000000 ,0.000000000000000
"mean_subjects_site" ,0.568200000000000 ,0.568200000000000 ,0.568200000000000 ,0.000000000000000
